Date,Title,Incident Area,City,State,Latitude,Longitude,Fatalities,Injured,Race,Gender,"Latitude, Longitude"
4/25/2015,Gates Pub,Gates Pub,Gates, New York,43.157,-77.693,1,6,Black American or African American,Male,"(43.157, -77.693)"
4/21/2015,Killeen,Village West Apartments,Killeen, Texas,31.079,-97.734,2,3,Black American or African American,Male,"(31.079, -97.734)"
4/16/2015,Phoenix,,Phoenix, Arizona,33.571,-112.09,5,0,Some other race,Male,"(33.571, -112.09)"
4/7/2015,Rome,street,Rome, Georgia,34.268,-85.188,1,3,Black American or African American,Male,"(34.268, -85.188)"
4/5/2015,Indianapolis,Home,Indianapolis, Indiana,39.777,-86.146,0,5,Unknown,Male,"(39.777, -86.146)"
4/3/2015,Daytona Beach,Home,Daytona Beach, Florida,29.193,-81.102,0,4,Black American or African American,Male,"(29.193, -81.102)"
3/30/2015,Tulsa,Home,Tulsa, Oklahoma,36.135,-95.913,4,0,Asian American,Male,"(36.135, -95.913)"
3/28/2015,Panama City Beach,Home,Panama City Beach, Florida,30.225,-85.874,0,7,Black American or African American,Male,"(30.225, -85.874)"
3/19/2015,Little Water,,Little Water, New Mexico,36.443,-108.723,2,2,Unknown,Male,"(36.443, -108.723)"
3/18/2015,Mesa,,Mesa, Arizona,33.423,-111.816,1,5,White American or European American,Male,"(33.423, -111.816)"
3/15/2015,Cottonwood,Home,Cottonwood, Alabama,31.055,-85.301,3,1,White American or European American,Male,"(31.055, -85.301)"
3/13/2015,Brookhaven,Home,Brookhaven, Mississippi,31.58,-90.443,2,3,Black American or African American,Male,"(31.58, -90.443)"
2/28/2015,Tarboro,Barber Shop,Tarboro, North Carolina,35.904,-77.556,4,0,Black American or African American,Male,"(35.904, -77.556)"
2/27/2015,Birmingham's Washington Park,street,Birmingham, Alabama,33.528,-86.796,1,2,Black American or African American,Male,"(33.528, -86.796)"
2/26/2015,Tyrone,Home,Tyrone, Missouri,37.204,-91.877,8,1,White American or European American,Male,"(37.204, -91.877)"
2/24/2015,Charlotte,Home,Charlotte, North Carolina,35.226,-80.837,3,0,Some other race,Male,"(35.226, -80.837)"
2/22/2015,Clarkesville,Home,Clarkesville, Georgia,34.61,-83.529,3,2,White American or European American,Male,"(34.61, -83.529)"
2/22/2015,Killeen,,Killeen, Texas,31.079,-97.734,4,1,Black American or African American,Male,"(31.079, -97.734)"
2/10/2015,Chapel Hill,Home,Chapel Hill, North Carolina,35.927,-79.039,3,0,White American or European American,Male,"(35.927, -79.039)"
2/9/2015,Moon Lake,Home,New Port Richey, Florida,28.247,-82.717,3,1,White American or European American/Some other Race,Male/Female,"(28.247, -82.717)"
2/7/2015,Monroeville Macy's,Shopping Mall,Monroeville, Pennsylvania,40.426,-79.761,0,3,Black American or African American,Male,"(40.426, -79.761)"
2/7/2015,Douglasville,Home,Douglasville, Georgia,33.711,-84.716,5,2,Black American or African American,Male,"(33.711, -84.716)"
2/4/2015,"King, North Carolina",,King, North Carolina,36.276,-80.355,4,0,White American or European American,Male,"(36.276, -80.355)"
2/1/2015,McAvan's Pub,Pub,Syracuse, New York,43.041,-76.144,0,6,Black American or African American,Male,"(43.041, -76.144)"
1/28/2015,LaGrange,Home,LaGrange, Georgia,33.036,-85.029,5,0,White American or European American,Male,"(33.036, -85.029)"
1/24/2015,Queens,Home,New York City, New York,40.69,-73.872,4,1,Black American or African American,Male,"(40.69, -73.872)"
1/24/2015,Omaha,Party Outside Home,Omaha, Nebraska,41.266,-96.054,3,5,Black American or African American,Male,"(41.266, -96.054)"
1/10/2015,Moscow,Home+Restaurant,Moscow, Idaho,46.731,-116.999,3,1,Asian American,Male,"(46.731, -116.999)"
1/1/2015,Memphis,,Memphis, Tennessee,35.105,-89.977,0,5,Black American or African American,Male,"(35.105, -89.977)"
12/15/2014,"Pennsburg, Souderton, Lansdale, Harleysville",Multiple Homes,Pennsburg," Souderton, Lansdale, Harleysville, Pennsylvania",40.394,-75.496,7,1,White American or European American,Male,"(40.394, -75.496)"
12/1/2014,Morgantown,Multiple Homes,Morgantown, West Virginia,39.634,-79.948,5,0,White American or European American,Male,"(39.634, -79.948)"
11/19/2014,Florida State University,Florida State University,Tallahassee, Florida,30.455,-84.253,1,3,Black American or African American,Male,"(30.455, -84.253)"
10/24/2014,Marysville-Pilchuck High School,School Cafeteria,Marysville, Washington,48.048,-122.136,5,1,Native American or Alaska Native,Male,"(48.048, -122.136)"
8/8/2014,Albuquerque Auto Shop,Outside an auto shop,Albuquerque, New Mexico,35.153,-106.779,2,3,Some other race,Male,"(35.153, -106.779)"
6/29/2014,Bourbon Street New Orleans,street,New Orleans, Louisiana,30.069,-89.931,1,9,Two or more races,Male,"(30.069, -89.931)"
6/8/2014,Nellis Plaza,Café+Walmart,Las Vegas, Nevada,36.189,-115.326,5,0,White American or European American,Male/Female,"(36.189, -115.326)"
6/5/2014,Seattle Pacific University,Seattle Pacific University,Seattle, Washington,47.622,-122.324,1,2,Some other race,Male,"(47.622, -122.324)"
4/29/2014,Kennesaw FedEx,Workplace,Kennesaw, Georgia,34.025,-84.618,1,6,White American or European American,Male,"(34.025, -84.618)"
4/2/2014,Fort Hood,Fort Hood Army Post,Killeen, Texas,31.079,-97.734,4,16,Some other race,Male,"(31.079, -97.734)"
3/23/2014,San Francisco Tenderloin,Outside Club,San Francisco, CA,37.755,-122.442,0,8,Black American or African American,Male,"(37.755, -122.442)"
2/20/2014,Cedarville Rancheria Tribe,,Alturas, California,41.491,-120.549,4,2,Native American or Alaska Native,Female,"(41.491, -120.549)"
12/28/2013,Centennial Hill Bar & Grill,,Montgomery, Alabama,32.347,-86.267,3,5,Black American or African American,Male,"(32.347, -86.267)"
11/1/2013,Los Angeles International Airport (LAX),Los Angeles International Airport,Los Angeles, California,34.176,-118.54,1,3,White American or European American,Male,"(34.176, -118.54)"
10/21/2013,Sparks Middle School,Sparks Middle School in Nevada,Sparks, Nevada,39.541,-119.748,2,2,Some other race,Male,"(39.541, -119.748)"
9/16/2013,Washington Navy Yard,,Washington D.C.,,38.905,-77.016,13,3,Black American or African American,Male,"(38.905, -77.016)"
8/14/2013,Oklahoma City Residence,,Oklahoma City, Oklahoma,35.468,-97.519,4,0,White American or European American,Male,"(35.468, -97.519)"
8/7/2013,Homes in Desoto and Dallas,Home,Dallas, Texas,32.795,-96.766,4,4,Black American or African American,Male,"(32.795, -96.766)"
8/5/2013,Ross Township Supervisor Council Meeting,Ross Township,Salisbury , Pennsylvania,39.753,-79.084,3,3,White American or European American,Male,"(39.753, -79.084)"
7/26/2013,Hialeah apartment shooting,Apartment Complex,Hialeah, Florida,25.867,-80.291,7,0,Latino,Male,"(25.867, -80.291)"
6/7/2013,Santa Monica College,,Santa Monica, California,34.023,-118.482,6,3,White American or European American,Male,"(34.023, -118.482)"
4/24/2013,Village of Manchester in Illinois,Home,Manchester, Illinois,39.542,-90.33,7,1,White American or European American,Male,"(39.542, -90.33)"
4/21/2013,Pinewood Village Apartments,Apartment,Federal Way, Washington,47.309,-122.336,5,0,Black American or African American,Male,"(47.309, -122.336)"
3/13/2013,Mohawk and Herkimer Villages in New York,,Mohawk, New York,43.01,-75.008,5,2,White American or European American,Male,"(43.01, -75.008)"
2/19/2013,"Ladera Ranch, Santa Ana, Tustin and Orange",,Ladera Ranch, California,33.55,-117.642,4,3,White American or European American,Male,"(33.55, -117.642)"
2/3/2013,Los Angeles Police Department,,Irvine, California,33.678,-117.774,4,2,Black American or African American,Male,"(33.678, -117.774)"
1/30/2013,Phoenix Law Firm,Entrance of building,Phoenix, Arizona,33.571,-112.09,3,1,White American or European American,Male,"(33.571, -112.09)"
1/19/2013,South Valley Residence,Home,South Valley," Albuquerque, New Mexico",35.153,-106.779,5,0,Some other race,Male,"(35.153, -106.779)"
12/14/2012,Sandy Hook Elementary School,,Newtown, Connecticut,41.412,-73.312,28,2,White American or European American,Male,"(41.412, -73.312)"
12/11/2012,Clackamas Town Center,Shopping Mall,Happy Valley, Oregon,45.449,-122.544,3,1,Some other race,Male,"(45.449, -122.544)"
10/21/2012,Azana Spa in Brookfield,Azana Spa in Brookfield,Brookfield, Wisconsin,43.064,-88.123,4,4,Black American or African American,Male,"(43.064, -88.123)"
9/28/2012,The Spot Nightclub,Club,Miami, Florida,25.797,-80.208,0,15,Black American or African American,Male,"(25.797, -80.208)"
9/27/2012,Accent Signage Systems in Minneapolis,Accent Signage Systems Building,Minneapolis, Minnesota,44.964,-93.268,7,2,White American or European American,Male,"(44.964, -93.268)"
8/5/2012,Sikh Temple in Wisconsin,Sikh Temple,Oak Creek, Wisconsin,42.88,-87.901,7,4,White American or European American,Male,"(42.88, -87.901)"
7/20/2012,Aurora theater shooting,Movie Theatre,Aurora, Colorado,39.709,-104.823,12,70,white,Male,"(39.709, -104.823)"
6/9/2012,University Heights Apartments in Auburn,Apartment Complex,Auburn, Alabama,32.606,-85.49,3,3,Black American or African American,Male,"(32.606, -85.49)"
5/30/2012,Cafe in Seattle,,Seattle, Washington,47.622,-122.324,6,1,White American or European American,Male,"(47.622, -122.324)"
5/20/2012,Seattle cafe shooting,,Seattle, Washington,47.604,-122.33,6,1,white,Male,"(47.604, -122.33)"
4/6/2012,"North Tulsa, Oklahoma","Tulsa, Oklahoma",Tulsa, Oklahoma,36.135,-95.913,3,2,White American or European American,Male,"(36.135, -95.913)"
4/2/2012,Oikos University killings,Nursing Classroom,Oakland, California,37.804,-122.271,7,3,Asian,Male,"(37.804, -122.271)"
2/27/2012,Chardon High School,Chardon High Scool,Chardon, Ohio,41.58,-81.208,3,3,White American or European American,Male,"(41.58, -81.208)"
2/22/2012,Su Jung Health Sauna shooting,Spa,Norcross, Georgia,33.941,-84.214,5,0,Asian,Male,"(33.941, -84.214)"
1/29/2012,Ensley Birmingham,Home,Birmingham, Alabama,33.528,-86.796,5,0,Black American or African American,Male,"(33.528, -86.796)"
10/12/2011,Salon Meritage,Hair Salon,Seal Beach, California,33.754,-118.072,8,1,White American or European American,Male,"(33.754, -118.072)"
9/6/2011,IHOP shooting,International House of Pancakes Restaurant,Carson City, Nevada,39.164,-119.767,5,7,Latino,Male,"(39.164, -119.767)"
