LATITUDE,LONGITUDE,"LATITUDE, LONGITUDE",CITY,STATE,CONGRESSIONAL DISTRICT,MEDIAN AGE,MALE MEDIAN AGE,FEMALE MEDIAN AGE,MALE COUNT,MALE COUNT %,FEMALE COUNT,FEMALE COUNT %,TOTAL POPULATION COUNT,TOTAL NON HISPANIC COUNT,TOTAL NON HISPANIC COUNT %,WHITE POP. COUNT,WHITE POP. COUNT %,BLACK POP. COUNT,BLACK POP. COUNT %,AMERICAN INDIAN/ALASKAN NAT. POP. COUNT,AMERICAN INDIAN/ALASKAN NAT. POP. COUNT %,ASIAN POP. COUNT,ASIAN POP. COUNT %,NAT. HAWAIIAN/PAC. ISL. POP. COUNT,NAT. HAWAIIAN/PAC. ISL. POP. COUNT %,WHITE OTHER POP. COUNT,WHITE OTHER POP. COUNT %,HISPANIC/LATINO POP. COUNT,HISPANIC/LATINO POP. COUNT %,WHITE OTHER POP. COUNT MEMO1,WHITE OTHER POP. COUNT MEMO2,WHITE OTHER POP. COUNT MEMO3,WHITE OTHER POP. COUNT MEMO4,WHITE OTHER POP. COUNT MEMO5,WHITE OTHER POP. COUNT MEMO6,WHITE OTHER POP. COUNT MEMO7,WHITE OTHER POP. COUNT MEMO8
39.114,-94.627,"(39.114, -94.627)",Kansas City,KS,KS3,50.5,50.9,49.5,430.0,.5,486.0,0.531,916.0,812.0,0.8859999999999999,239.0,0.294,546.0,0.672,0.0,0.0,12.0,0.015,0.0,0.0,15.0,0.018000000000000002,104.0,0.1,0.0,0.0,15.0,0.018000000000000002,0.0,0.0,15.0,1.0
30.224,-92.02,"(30.224, -92.02)",Lafayette,LA,LA3,32.4,31.9,34.1,837.0,.6,569.0,0.405,1406.0,1406.0,1.0,908.0,0.6459999999999999,454.0,0.32299999999999995,0.0,0.0,28.0,0.02,0.0,0.0,16.0,0.011000000000000001,0.0,0.0,0.0,0.0,16.0,0.011000000000000001,0.0,0.0,16.0,1.0
39.114,-94.627,"(39.114, -94.627)",Kansas City,KS,KS3,50.5,50.9,49.5,430.0,.5,486.0,0.531,916.0,812.0,0.8859999999999999,239.0,0.294,546.0,0.672,0.0,0.0,12.0,0.015,0.0,0.0,15.0,0.018000000000000002,104.0,0.1,0.0,0.0,15.0,0.018000000000000002,0.0,0.0,15.0,1.0
42.392,-71.033,"(42.392, -71.033)",Chelsea,MA,MA7,26.4,26.6,25.8,738.0,.5,700.0,0.48700000000000004,1438.0,61.0,0.042,46.0,0.754,11.0,0.18,0.0,0.0,4.0,0.066,0.0,0.0,0.0,0.0,1377.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.023,-84.362,"(34.023, -84.362)",Roswell,GA,GA6,32.8,21.6,43.9,962.0,.5,1050.0,0.522,2012.0,1512.0,0.7509999999999999,1010.0,0.6679999999999999,502.0,0.332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.687,-97.33,"(37.687, -97.33)",Wichita,KS,KS4,42.3,35.3,42.8,602.0,.7,241.0,0.28600000000000003,843.0,790.0,0.937,693.0,0.877,90.0,0.114,0.0,0.0,7.0,0.009000000000000001,0.0,0.0,0.0,0.0,53.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.331,-83.046,"(42.331, -83.046)",Detroit,MI,MI14,32.6,36.1,30.6,429.0,.5,419.0,0.494,848.0,799.0,0.9420000000000001,377.0,0.47200000000000003,271.0,0.33899999999999997,0.0,0.0,135.0,0.16899999999999998,0.0,0.0,16.0,0.02,49.0,0.1,0.0,0.0,16.0,0.02,0.0,0.0,16.0,1.0
33.997,-117.485,"(33.997, -117.485)",Jurupa Valley,CA,CA41,43.3,39.4,46.1,897.0,.5,787.0,0.467,1684.0,594.0,0.353,514.0,0.865,67.0,0.113,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.022000000000000002,1090.0,0.6,0.0,0.0,13.0,0.022000000000000002,0.0,0.0,13.0,1.0
38.67,-77.352,"(38.67, -77.352)",Woodbridge,VA,VA11,32.3,32.1,33.4,1540.0,.6,1052.0,0.406,2592.0,1378.0,0.532,572.0,0.415,435.0,0.316,0.0,0.0,142.0,0.10300000000000001,229.0,0.166,0.0,0.0,1214.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47.503,-122.931,"(47.503, -122.931)",Belfair,WA,WA6,38.0,37.4,48.2,803.0,.6,637.0,0.442,1440.0,1173.0,0.815,1137.0,0.9690000000000001,0.0,0.0,0.0,0.0,18.0,0.015,0.0,0.0,18.0,0.015,267.0,0.2,0.0,0.0,18.0,0.015,0.0,0.0,18.0,1.0
38.137,-97.427,"(38.137, -97.427)",Hesston,KS,KS4,40.7,40.1,41.3,1328.0,.5,1208.0,0.47600000000000003,2536.0,2536.0,1.0,2505.0,0.988,14.0,0.006,17.0,0.006999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47.451,-122.827,"(47.451, -122.827)",Belfair,WA,WA6,34.1,27.3,35.6,1043.0,.5,1224.0,0.54,2267.0,1623.0,0.716,1310.0,0.807,71.0,0.044000000000000004,27.0,0.017,132.0,0.081,0.0,0.0,83.0,0.051,644.0,0.3,0.0,0.0,83.0,0.051,0.0,0.0,83.0,1.0
33.448,-112.074,"(33.448, -112.074)",Phoenix,AZ,AZ7,34.5,34.7,33.5,1500.0,.8,295.0,0.16399999999999998,1795.0,1326.0,0.7390000000000001,1017.0,0.767,238.0,0.179,42.0,0.032,21.0,0.016,0.0,0.0,8.0,0.006,469.0,0.3,1.0,0.001,7.0,0.005,0.0,0.0,7.0,1.0
38.771,-90.371,"(38.771, -90.371)",Hazelwood,MO,MO1,32.0,31.9,32.2,1038.0,.5,1228.0,0.542,2266.0,2260.0,0.997,690.0,0.305,1315.0,0.5820000000000001,0.0,0.0,159.0,0.07,0.0,0.0,96.0,0.042,6.0,0.0,0.0,0.0,96.0,0.042,0.0,0.0,96.0,1.0
