LEGISLATOR GOVTRACK ID,FIRST NAME,LAST NAME,GENDER,CONGRESSIONAL BRANCH,TERM START DATE,TERM END DATE,STATE,POLITICAL PARTY,STATE DISTRICT,TERM START YEAR,TERM END YEAR,CONGRESSIONAL DISTRICT
C001029,Francis,Cutting,M,rep,1853-12-05,1855-03-03,NY,Democrat,8,1853,1855,NY8
D000135,Thomas,Davis,M,rep,1853-12-05,1855-03-03,RI,Democrat,1,1853,1855,RI1
D000172,Gilbert,Dean,M,rep,1851-12-01,1855-03-03,NY,Democrat,8,1851,1855,NY8
D000257,William,Dent,M,rep,1853-12-05,1855-03-03,GA,Democrat,4,1853,1855,GA4
D000319,Edward,Dickinson,M,rep,1853-12-05,1855-03-03,MA,Whig,10,1853,1855,MA10
D000361,David,Disney,M,rep,1849-12-03,1855-03-03,OH,Democrat,1,1849,1855,OH1
D000506,Augustus,Drum,M,rep,1853-12-05,1855-03-03,PA,Democrat,19,1853,1855,PA19
D000526,William,Dunbar,M,rep,1853-12-05,1855-03-03,LA,Democrat,1,1853,1855,LA1
D000540,Cyrus,Dunham,M,rep,1849-12-03,1855-03-03,IN,Democrat,2,1849,1855,IN2
E000019,Ben,Eastman,M,rep,1851-12-01,1855-03-03,WI,Democrat,2,1851,1855,WI2
E000039,Norman,Eddy,M,rep,1853-12-05,1855-03-03,IN,Democrat,9,1853,1855,IN9
E000045,Alfred,Edgerton,M,rep,1851-12-01,1855-03-03,OH,Democrat,5,1851,1855,OH5
E000050,John,Edmands,M,rep,1853-12-05,1855-03-03,MA,Whig,3,1853,1855,MA3
E000140,Andrew,Ellison,M,rep,1853-12-05,1855-03-03,OH,Democrat,6,1853,1855,OH6
E000264,Edward,Everett,M,rep,1825-12-05,1855-03-03,MA,Adams,4,1825,1855,MA4
E000271,William,Everhart,M,rep,1853-12-05,1855-03-03,PA,Whig,6,1853,1855,PA6
E000279,Presley,Ewing,M,rep,1851-12-01,1855-03-03,KY,Whig,3,1851,1855,KY3
F000018,Ephraim,Farley,M,rep,1853-12-05,1855-03-03,ME,Whig,3,1853,1855,ME3
F000345,John,Franklin,M,rep,1853-12-05,1855-03-03,MD,Whig,1,1853,1855,MD1
G000029,James,Gamble,M,rep,1851-12-01,1855-03-03,PA,Democrat,13,1851,1855,PA13
G000168,Napoleon,Giddings,M,rep,1853-12-05,1855-03-03,NE,Democrat,-1,1853,1855,NE-1
G000295,John,Goodrich,M,rep,1851-12-01,1855-03-03,MA,Whig,7,1851,1855,MA7
G000409,Frederick,Green,M,rep,1851-12-01,1855-03-03,OH,Democrat,6,1851,1855,OH6
G000453,Benjamin,Grey,M,rep,1851-12-01,1855-03-03,KY,Whig,2,1851,1855,KY2
H000208,Andrew,Harlan,M,rep,1849-12-03,1855-03-03,IN,Democrat,10,1849,1855,IN10
H000256,Wiley,Harris,M,rep,1853-12-05,1855-03-03,MS,Democrat,4,1853,1855,MS4
H000326,George,Hastings,M,rep,1853-12-05,1855-03-03,NY,Democrat,28,1853,1855,NY28
H000500,Bernhart,Henn,M,rep,1851-12-01,1855-03-03,IA,Democrat,1,1851,1855,IA1
H000557,Harry,Hibbard,M,rep,1849-12-03,1855-03-03,NH,Democrat,4,1849,1855,NH4
H000572,Isaac,Hiester,M,rep,1853-12-05,1855-03-03,PA,Whig,9,1853,1855,PA9
H000589,Clement,Hill,M,rep,1853-12-05,1855-03-03,KY,Whig,5,1853,1855,KY5
H000625,Junius,Hillyer,M,rep,1851-12-01,1855-03-03,GA,Democrat,6,1851,1855,GA6
H000827,Samuel,Houston,M,rep,1823-12-01,1859-03-03,TN,Democrat,7,1823,1859,TN7
H000854,Thomas,Howe,M,rep,1851-12-01,1855-03-03,PA,Whig,21,1851,1855,PA21
H000918,Charles,Hughes,M,rep,1853-12-05,1855-03-03,NY,Democrat,15,1853,1855,NY15
H000977,Theodore,Hunt,M,rep,1853-12-05,1855-03-03,LA,Whig,2,1853,1855,LA2
I000016,Colin,Ingersoll,M,rep,1851-12-01,1855-03-03,CT,Democrat,2,1851,1855,CT2
J000136,Harvey,Johnson,M,rep,1853-12-05,1855-03-03,OH,Democrat,14,1853,1855,OH14
J000215,Daniel,Jones,M,rep,1851-12-01,1855-03-03,NY,Democrat,24,1851,1855,NY24
J000221,George,Jones,M,rep,1835-12-07,1859-03-03,MI,Democrat,-1,1835,1859,MI-1
J000250,Roland,Jones,M,rep,1853-12-05,1855-03-03,LA,Democrat,4,1853,1855,LA4
